Name,Year,Duration,Rating,Score,Description
The Wolf of Wall Street,2013,3h 0m,16,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Truman Show,1998,1h 43m,12,8.2,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
Green Book,2018,2h 10m,12,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Batman Begins,2005,2h 20m,12,8.2,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
Shutter Island,2010,2h 18m,16,8.2,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
Oordeel te Neurenberg,1961,2h 59m,16,8.3,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
Hamilton,2020,2h 40m,12,8.3,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Taxi Driver,1976,1h 54m,16,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
For a Few Dollars More,1965,2h 12m,12,8.2,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
Some Like It Hot,1959,2h 1m,12,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Jurassic Park,1993,2h 7m,12,8.2,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
There Will Be Blood,2007,2h 38m,16,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Kid,1921,1h 8m,Passed,8.2,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
The Father,2020,1h 37m,9,8.2,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
All About Eve,1950,2h 18m,Approved,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
The Sixth Sense,1999,1h 47m,16,8.2,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret."
Ran,1985,2h 40m,16,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Casino,1995,2h 58m,16,8.2,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
No Country for Old Men,2007,2h 2m,16,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
The Thing,1982,1h 49m,16,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Top Gun: Maverick,2022,2h 10m,12,8.2,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
Prisoners,2013,2h 33m,16,8.2,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.
Pan's Labyrinth,2006,1h 58m,16,8.2,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks."
Unforgiven,1992,2h 10m,12,8.2,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid""."
Kill Bill,2003,1h 51m,16,8.2,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Hababam Sinifi: Sinifta Kaldi,1975,1h 35m,Unrated,8.5,"A group of students have failed their exams and must return for another year. Distracting them all is a new young female teacher, who they try out their usual tricks on."
A Beautiful Mind,2001,2h 15m,12,8.2,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
The Treasure of the Sierra Madre,1948,2h 6m,AL,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Howl's Moving Castle,2004,1h 59m,MG6,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
Finding Nemo,2003,1h 40m,AL,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Yojimbo,1961,1h 50m,12,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
The Great Escape,1963,2h 52m,12,8.2,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.
Klaus,2019,1h 36m,6,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
The Elephant Man,1980,2h 4m,12,8.2,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication."
Monty Python and the Holy Grail,1975,1h 31m,12,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
The Best of Youth,2003,6h 14m,R,8.4,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.
Dial M for Murder,1954,1h 45m,PG,8.2,"A London playboy plots the perfect murder of his rich, unfaithful wife."
Gejaagd door de wind,1939,3h 58m,6,8.2,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
El secreto de sus ojos,2009,2h 9m,16,8.2,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later."
Chinatown,1974,2h 10m,16,8.1,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,16,8.1,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt."
Demon Slayer: Kimetsu No Yaiba the Movie: Infinity Castle,2025,2h 35m,R,8.5,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins."
V for Vendetta,2005,2h 12m,16,8.1,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
Binnenstebuiten,2015,1h 35m,AL,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school."
Rashomon,1950,1h 28m,12,8.1,Three parties and a witness have four versions of a rape/murder in ninth-century Japan.
Catch Me If You Can,2002,2h 21m,12,8.1,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,16,8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Trainspotting,1996,1h 33m,16,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
The Bridge on the River Kwai,1957,2h 41m,12,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,12,8.1,"Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his army."
Fargo,1996,1h 38m,16,8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Dead Poets Society,1989,2h 8m,AL,8.1,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression."
Raging Bull,1980,2h 9m,16,8.1,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Warrior,2011,2h 20m,16,8.1,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
The Wild Robot,2024,1h 42m,6,8.2,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
Barry Lyndon,1975,3h 5m,12,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
Ben Hur,1959,3h 32m,12,8.1,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge."
Million Dollar Baby,2004,2h 12m,12,8.1,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
Mad Max: Fury Road,2015,2h 0m,16,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
Gran Torino,2008,1h 56m,12,8.1,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
My Neighbor Totoro,1988,1h 26m,6,8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Bacheha-ye aseman,1997,1h 29m,PG,8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Hacksaw Ridge,2016,2h 19m,16,8.1,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
The Grand Budapest Hotel,2014,1h 39m,6,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
12 Years a Slave,2013,2h 14m,16,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Before Sunrise,1995,1h 41m,AL,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Blade Runner,1982,1h 57m,12,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
Ratatouille,2007,1h 51m,AL,8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Salinui chueok,2003,2h 11m,16,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Spider-Man: No Way Home,2021,2h 28m,12,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
How to Train Your Dragon,2010,1h 38m,6,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Gone Girl,2014,2h 29m,16,8.1,The husband of a missing woman becomes the main suspect in her disappearance.
"Monsters, Inc.",2001,1h 32m,AL,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
De zomer van de witte haai,1975,2h 4m,16,8.1,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down."
In the Name of the Father,1993,2h 13m,16,8.1,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them."
Le Mans '66,2019,2h 32m,6,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Relatos salvajes,2014,2h 2m,16,8.1,Six short stories that explore the extremities of human behavior involving people in distress.
The Gold Rush,1925,1h 35m,Approved,8.1,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Sherlock Jr.,1924,0h 45m,Passed,8.1,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Mary and Max,2009,1h 32m,12,8.1,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome."
The Deer Hunter,1978,3h 3m,16,8.1,The lives of a group of friends are forever changed by the Vietnam War.
Het loon van de Angst,1953,2h 36m,Unrated,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
The General,1926,1h 18m,AL,8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
Logan,2017,2h 17m,16,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Mr. Smith gaat naar Washington,1939,2h 9m,AL,8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
Rocky,1976,2h 0m,14,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
On the Waterfront,1954,1h 48m,AL,8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
Tokyo Story,1953,2h 17m,AL,8.1,"An old couple visit their children and grandchildren in the city, but receive little attention."
Smultronstället,1957,1h 32m,12,8.1,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,12,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
Spotlight,2015,2h 9m,6,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
The Third Man,1949,1h 44m,6,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
La haine,1995,1h 38m,16,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Maharaja,2024,2h 21m,16,8.3,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Jai Bhim,2021,2h 44m,16,8.6,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
The Terminator,1984,1h 47m,16,8.1,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.
The Big Lebowski,1998,1h 57m,12,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
The Sound of Music,1965,2h 54m,AL,8.1,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
A Silent Voice,2016,2h 10m,Not Rated,8.2,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends."
De beste jaren van ons leven,1946,2h 50m,Approved,8.1,Three traumatized or physically disabled World War II veterans return home to the American Midwest to discover that they and their families have been irreparably changed making readjustment difficult.
Det sjunde inseglet,1957,1h 36m,Not Rated,8.1,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Room,2015,1h 58m,12,8.1,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
Gekijô-ban Chensô Man Reze-hen,2025,1h 40m,12,8.4,"Denji encounters a new romantic interest, Reze, who works at a coffee café."
Hotel Rwanda,2004,2h 1m,16,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Before Sunset,2004,1h 20m,AL,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Platoon,1986,2h 0m,16,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
The Incredibles,2004,1h 55m,MG6,8.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
The Exorcist,1973,2h 2m,16,8.1,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life."
Hachi,2009,1h 33m,AL,8.1,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds."
Rush,2013,2h 3m,12,8.1,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
The Wizard of Oz,1939,1h 42m,6,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
Stand by Me,1986,1h 29m,6,8.1,A writer recounts a childhood journey with his friends to find the body of a missing boy.
De IJzeren reus,1999,1h 26m,6,8.1,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions."
Babam ve Oglum,2005,1h 52m,Not Rated,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
De slag om Algiers,1966,2h 1m,16,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Ah-ga-ssi,2016,2h 25m,16,8.1,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune."
Network,1976,2h 1m,12,8.1,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control."
Gangs of Wasseypur,2012,5h 21m,16,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Drishyam,2015,2h 43m,12,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,12,8.2,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
The Grapes of Wrath,1940,2h 9m,6,8.1,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Spionnage in het spel,1942,1h 39m,6,8.1,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
Soorarai Pottru,2020,2h 33m,Unrated,8.6,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks"
